glico	lojbo	spano
English version	ni'o ni'o ni'o bau le lojbo	original en español
Tlön, Uqbar, Orbis Tertius	ni'o la .tlon. joi la .ukybar. joi la .orbis.tertius.	Tlön, Uqbar, Orbis Tertius
by Jorge Luis Borges	ni'o la'o sy.Jorge Luis Borges.sy. finti	por Jorge Luis Borges
English translation by la gleki	ni'o la gleki cu fanva fi le lojbo	original en español
Published in 1940	ni'o finti de'i nanca bu 1940	-1940
I	ni'o ni'o pa mo'o	I
I owe to the conjunction of a mirror and an encyclopedia the discovery of Uqbar.	.i mi facki fi la ukybar ri'a tu'a lo minra joi lo skecku	Debo a la conjunción de un espejo y de una enciclopedia el descubrimiento de Uqbar.
The mirror disturbed the end of a corridor in a country house on Calle Gaona, in Ramos Mejía; the encyclopedia is fallaciously called The Anglo-American Cyclopaedia (New York, 1917) and is a verbatim, but also lazy, reprint of the Encyclopaedia Britannica of 1902.	.i le minra pu ca'o raktu le trixe be le klaji be le nenri be le nurma dinju be bu'u le klaji be me'e zoi sy.Gaona.sy. bei bu'u la'o sy.Ramos Mejía.sy. i le skecku cu se srera se cmene zoi gy.The Anglo-American Cyclopaedia.gy. (to'i sa'a la glico joi merko skecku toi) (to la .nuiork. de'i li nanca bu 1917 toi) gi'e satci gi'e ku'i no'e cinri fukpi la'o gy.Encyclopaedia Britannica.gy. (to'i sa'a la brito skecku toi) (to de'i li nanca bu 1902 toi)	El espejo inquietaba el fondo de un corredor en una quinta de la calle Gaona, en Ramos Mejía; la enciclopedia falazmente se llama The Anglo-American Cyclopaedía (New York, 1917) y es una reimpresión literal, pero también morosa, de la Encyclopaedia Britannica de 1902.
The event occurred about five years ago.	.i fasnu pu la'u le nanca be li ji'i mu	El hecho se produjo hará unos cinco años.
Bioy Casares had dined with me that night and we were delayed by a vast controversy about the execution of a novel in the first person, whose narrator omitted or distorted the facts and incurred various contradictions, which would allow a few readers - very few readers - the divination of an atrocious or banal reality.	.i la .biois.kasares. jo'u mi pu citka lo vanci sanmi .i mi'a za'o casnu le nabmi be fi lo nu cfika tu'a vo'i joi lo nu na'e skicu su'o fasnu gi'a bo xusra su'o boi su'o va'e jitfa gi'e ciksi fo su'o natfe vau ja'e lo nu so'u je mo'a tcidu cu smadi tu'a lo jetnu noi mabla gi'a na'e cizra	Bioy Casares había cenado conmigo esa noche y nos demoró una vasta polémica sobre la ejecución de una novela en primera persona, cuyo narrador omitiera o desfigurara los hechos e incurriera en diversas contradicciones, que permitieran a unos pocos lectores -a muy pocos lectores- la adivinación de una realidad atroz o banal.
From the remote depth of the corridor, the mirror stalked us.	.i to'o le condi be le klaji be le dinju le minra ca'o zgana kalte mi'a	Desde el fondo remoto del corredor, el espejo nos acechaba.
We discovered (in the high night such discovery is inevitable) that there is something monstrous about mirrors.	.i mi'a pu facki (to ca le'e tai nicte le nu tai facki na ka'e se rivbi toi) le du'u lo ka cizra fi su'o da fa lo'e minra	Descubrimos (en la alta noche ese descubrimiento es inevitable) que los espejos tienen algo monstruoso.
Then Bioy Casares remembered that one of the heresiarchs of Uqbar had declared that mirrors and copulation are abominable, because they multiply the number of men.	.i ba ku la .biois.kasares. morji be di'a ku cusku le se du'u le pa zerjdafi'i pe la .ukybar. pu xusra le du'u lo'e nu minra e lo'e nu gletu cu mabla ki'u lo nu le nei cu rinka lo nu loi remna cu zenba lo ka xokau mei	Entonces Bioy Casares recordó que uno de los heresiarcas de Uqbar había declarado que los espejos y la cópula son abominables, porque multiplican el número de los hombres.
I asked him the origin of that memorable sentence and he replied that The Anglo-American Cyclopaedia recorded it, in its article on Uqbar.	.i mi pu cpedu fi by.ky. fe lo ka cusku lo sinxa be le krasi be le ra voi zabna jufra .i by.ky. spusku le se du'u le se cukta be la'o gy.The Anglo-American Cyclopaedia.gy. cu vreji gi'e se pagbu le .artigo be la .ukybar.	Le pregunté el origen de esa memorable sentencia y me contestó que The Anglo-American Cyclopaedia la registraba, en su artículo sobre Uqbar.
The quinta (which we had rented furnished) had a copy of that work.	.i le dinju noi mi'a pu te vecnu lo ka ze'a xabju ke'a voi se nilce cu se zvati le pa fukpi be ra voi cukta	La quinta (que habíamos alquilado amueblada) poseía un ejemplar de esa obra.
In the last pages of volume XLVI we came across an article on Uppsala; in the early part of XLVII, with one on Ural-Altaic Languages, but not a word on Uqbar.	.i fi le so'o boi so'amoi papri be le pa xa moi slecku fa mi'a pu tcidu le artigo be la'o zoi.Uppsala.zoi .i je fi le so'o boi so'u moi papri be le pa ze moi slecku pu go'i le se go'i be lei ural zei altai bangu fe no da pe la .ukybar.	En las últimas páginas del volumen XLVI dimos con un artículo sobre Upsala; en las primeras del XLVII, con uno sobre Ural-Altaic Languages, pero ni una palabra sobre Uqbar.
Bioy, a little embarrassed, interrogated the volumes of the index.	.i la .bios. fau le nu ri burna kei cu kucli catlu le slecku be lo judri be lo valsi	Bioy, un poco azorado, interrogó los tomos del índice.
He exhausted in vain every imaginable spelling: Ukbar, Ucbar, Ookbar, Oukbahr...	.i by.ky. ja'e no da catlu ro lu'a lei se xanri vlatai ku noi zoi zoi.Ukbar.zoi .e zoi.Ucbar.zoi .e zoi.Ookbar.zoi .e zoi.Oukbahr.zoi me ke'a	Agotó en vano todas las lecciones imaginables: Ukbar, Ucbar, Ookbar, Oukbahr...
Before leaving, he told me that it was a region of Iraq or of Asia Minor.	.i ca lo nu by.ky. pu'o cliva kei ri cusku fi mi fe le se du'u ra diklo la .irak. a le cmalu xadzo	Antes de irse, me dijo que era una región del Irak o del Asia Menor.
I confess that I nodded with some discomfort.	.i sei mi stace mi tugni cusku fo tu'a le stedu be mi fau le nu mi na'e kufra	Confieso que asentí con alguna incomodidad.
I conjectured that this undocumented country and this anonymous heresiarch were a fiction improvised by Bioy's modesty to justify a statement.	.i mi pu smadi le du'u le bi'u nai na'e se skicu gugde .e le bi'u nai zerjdafi'i ne me'e nai cu se finti byky. ki'u lo nu ri cumla kei fi lo nu le se xusra cu se birti	Conjeturé que ese país indocumentado y ese heresiarca anónimo eran una ficción improvisada por la modestia de Bioy para justificar una frase.
The fruitless examination of one of Justus Perthes' atlases strengthened my doubt.	.i le nu lanli pa le cartu pe la .iustus.pertes. cu jalge le nu facki no da .e le nu mi zenba lo ka senpi	El examen estéril de uno de los atlas de Justus Perthes fortaleció mi duda.
The next day, Bioy called me from Buenos Aires.	.i pu ku ca lo bavlamdei byky. fonsku benji fi mi fo la .buenos.aires.	Al día siguiente, Bioy me llamó desde Buenos Aires.
He told me that he was looking at the article on Uqbar, in the XLVI volume of the Encyclopedia.	.i byky. cusku fi mi fe le se du'u le nei ca ca'o catlu le artigo be la .ukybar. bei sepa'u le pa xa moi slecku be sepa'u la brito skecku	Me dijo que tenía a la vista el artículo sobre Uqbar, en el volumen XLVI de la Enciclopedia.
The name of the heresiarch was not mentioned, but there was a note on his doctrine, formulated in words almost identical to those repeated by him, although -perhaps- literarily inferior.	.i le cmene be le zerjdafi'i na se cusku .i ku'i pa da notci le se krici pe selkritru bu gi'e so'e va'e dunli le pu se cusku be byky gi'e bo ku'i ba'e la'a zmadu fi lo ka mabla lo ka se tarmi	No constaba el nombre del heresiarca, pero sí la noticia de su doctrina, formulada en palabras casi idénticas a las repetidas por él, aunque -tal vez- literariamente inferiores.
He had recalled: Copulation and mirrors are abominable.	.i byky. pu morji cusku zoi .glic.Copulation and mirrors are abominable.glic. (to'i sa'a lo'e nu gletu .e lo'e nu minra cu mabla toi)	Él había recordado: Copulation and mirrors are abominable.
The text of the Encyclopedia said: For one of these Gnostics, the visible universe was an illusion or (more precisely) a sophism.	.i notci sepa'u le se skecku fa "lu ni'o sei se jinvi be pa le bi'u nai prije le ka se zgana munje cu ka se xanri gi'e sei zmadu satci se'u tcica	El texto de la Enciclopedia decía: Para uno de esos gnósticos, el visible universo era una ilusión o (más precisamente) un sofisma.
Mirrors and fatherhood are hateful because they multiply and disseminate that universe.	.i lo'e nu minra .e lo'e nu rorci cu se xebni (to'i sa'a zoi .glic.mirrors and fatherhood are hateful.glic. toi) ki'u lo nu ri'a lo'e nei cu zenba lo ka xo kau mei kei gi'e preja vau fa loi pagbu be le munje li'u"	Los espejos y la paternidad son abominables (mirrors and fatherhood are hateful) porque lo multiplican y lo divulgan.
I told him, without disrespecting the truth, that I would like to see that article.	.i mi stace cusku fi byky. fe le se du'u mi djica lo nu mi viska le cukta be le artigo	Le dije, sin faltar a la verdad, que me gustaría ver ese artículo.
A few days later he brought it.	.i ba ku la'u lo djedi be li so'o byky. mo'u bevri le cukta	A los pocos días lo trajo.
Which surprised me, because the scrupulous map indices in Ritter's Erdkunde completely ignored the name of Uqbar.	.i le nu go'i cu spaji mi ki'u lo nu le'i judri be lo stuzi be'o poi se liste lo satci pe la'o .dotc.Erdkunde.dotc. pe fi'e la'o .dotc.Ritter.dotc. cu ba'e na se cmima zo .ukybar.	Lo cual me sorprendió, porque los escrupulosas índices cartográficos de la Erdkunde de Ritter ignoraban con plenitud el nombre de Uqbar.
The volume that Bioy brought was indeed the XLVI of the Anglo-American Cyclopaedia.	.i le slecku noi byky. mo'u bevri cu je'a pa xa moi slecku be se pa'u la'o .glic.Anglo-American Cyclopaedia.glic.	El volumen que trajo Bioy era efectivamente el XLVI de la Anglo-American Cyclopaedia.
On the half-title page and on the spine, the alphabetical indication (Tor-Ups) was that of our copy, but instead of 917 pages it consisted of 921.	.i le cmepapri e le te bakfu be fi le cukta cu te tcidu zo tor ce'o ups vu'o noi sinxa le se kuspe be loi artigo .i ku'i le cukta cu se papri 921 da seba'i lo nu nei 921 de	En la falsa carátula y en el lomo, la indicación alfabética (Tor-Ups) era la de nuestro ejemplar, pero en vez de 917 páginas constaba de 921.
Those four additional pages comprised the article on Uqbar; not foreseen (as the reader will have noticed) by the alphabetical indication.	.i lei vo se jmina papri cu te tcidu le artigo be la ukybar gi'e na jai rinka (to le tcidu be dei ka'e didnu toi) tu'a le sinxa be le se kuspe be loi artigo	Esas cuatro páginas adicionales comprendían al artículo sobre Uqbar; no previsto (como habrá advertido el lector) por la indicación alfabética.
We later found that there was no other difference between the volumes.	.i ba za ku mi'a facki le du'u panra fi tu'a la'e di'u	Comprobamos después que no hay otra diferencia entre los volúmenes.
Both (as I think I have indicated) were reprints of the tenth Encyclopaedia Britannica.	.i le re cukta (to mi krici le du'u mi pu cusku toi) cu fukpi la brito skecku ku poi pa no moi	Los dos (según creo haber indicado) son reimpresiones de la décima Encyclopaedia Britannica.
Bioy had acquired his copy in one of many auctions.	.i by.ky. pu jinga le ka ponse le fukpi kei fo pa le so'i nu gubni vecnu	Bioy había adquirido su ejemplar en uno de tantos remates.
We read the article carefully.	.i mi'a tcidu le artigo fau le nu jundi	Leímos con algún cuidado el artículo.
The passage recalled by Bioy was perhaps the only surprising one.	.i le pa jufra poi bycy. pu cusku cu se steci lo ka jai spaji	El pasaje recordado por Bioy era tal vez el único sorprendente.
The rest seemed very plausible, very much in keeping with the general tone of the play, and (of course) a bit boring.	.i le drata pagbu cu simlu lo ka mutce lakne gi'e mutce sarxe le tarmi be le se finti gi'e li'a jai se badri	El resto parecía muy verosímil, muy ajustado al tono general de la obra y (como es natural) un poco aburrido.
Re-reading it, we discovered under its rigorous prose a fundamental vagueness.	.i ca lo nu mi'a mo'u za'u re'u tcidu kei mi'a dacki le du'u le carmi prosa cu se jicmu lo smuni poi na'e satci	Releyéndolo, descubrimos bajo su rigurosa escritura una fundamental vaguedad.
Of the fourteen names that appeared in the geographical part, we only recognized three - Khorasan, Armenia, Erzerum -, interpolated in the text in an ambiguous way.	.i klesi lei 14 cmene poi se pilno tu'a le pagbu pe le jai tai tutra ku'o lo ka se slabu mi'a vau fa lei ci po'o da ku noi du la xorasan joi la armenias joi la erzerum vu'o noi se jmina fi le te gerna tai lo nu le smuni na zenba lo ka se jimpe	De los catorce nombres que figuraban en la parte geográfica, sólo reconocimos tres -Jorasán, Armenia, Erzerum-, interpolados en el texto de un modo ambiguo.
Of the historical names, only one: the impostor Smerdis the magician, invoked more as a metaphor.	.i go'i lei cmene be lo laldo fa lei pa po'o da ku noi du lu'o lu'i la smerdis voi te makfa lu'u noi se pilno fi tu'a lo so'i va'e lo ka metfo	De los nombres históricos, uno solo: el impostor Esmerdis el mago, invocado más bien como una metáfora.
The note seemed to specify the borders of Uqbar, but its nebulous landmarks were rivers and craters and ridges of that very region.	.i le notci cu simlu lo ka notci lei korbi be la ukybar be'o ku noi ku'i linji lu'i le na'e satci lu'u noi se cmima le rirxe .a le cukla skuro be le tumla be'o .a le derxi be lo cmana be ba'e le bi'u nai se diklo	La nota parecía precisar las fronteras de Uqbar, pero sus nebulosos puntos de referencias eran ríos y cráteres y cadenas de esa misma región.
We read, for example, that the lowlands of Tsai Khaldun and the Axa delta defined the southern border and that wild horses breed on the islands of that delta.	.i mi'a pu tcidu fe mu'a le se du'u lei dizlo tumla be la tsaixaldun be'o joi le ve rirxe be fo la aksa cu jimte le snanu kei .i go'i le se du'u za'u cilce xirma cu xabju le za'u daplu be le bi'u nai ve rirxe	Leímos, verbigracia, que las tierras bajas de Tsai Jaldún y el delta del Axa definen la frontera del sur y que en las islas de ese delta procrean los caballos salvajes.
That, at the top of page 918.	.i tcidu lu'i la'e di'u le 918 moi papri	Eso, al principio de la página 918.
In the historical section (page 920) we learned that as a result of the religious persecutions of the thirteenth century, the Orthodox sought refuge on these islands, where their obelisks still remain and where it is not uncommon to unearth their stone mirrors.	.i fo le pagbu pe le citri (to 920 moi papri toi) mi'a cilre le du'u ja'e lo nu kalte le se lijda ca le 13 moi sorna'acedra kei le krici cu zukte fi lo nu ri se marbi le za'u daplu bi'u nai noi bu'u ke'a lo pixra kamji pe le krici ca'o stali gi'e cafne fa lo nu kakpa loi dertu lo rokci pixra pe le krici	En la sección histórica (página 920) supimos que a raíz de las persecuciones religiosas del siglo trece, los ortodoxos buscaron amparo en las islas, donde perduran todavía sus obeliscos y donde no es raro exhumar sus espejos de piedra.
The language and literature section was brief.	.i le pagbu poi notci lo bangu e lo'e se cukta cu tordu	La sección idioma y literatura era breve.
A single memorable trait: he noted that the literature of Uqbar was of a fantastic nature and that its epics and legends never referred to reality, but to the two imaginary regions of Mlejnas and Tlön...	.i lo ka jerna lo ka se morji cu steci le du'u le mirgumi cu cusku le se du'u lo'e se prosa be bu'u la ukybar cu xanri .e le se du'u ro da poi se ranmi cu srana le se zvati be le mirgumi be'o na e lei re xanri stuzi poi du la mleinas joi la .tlon. i go'i ge'e	Un solo rasgo memorable: anotaba que la literatura de Uqbar era de carácter fantástico y que sus epopeyas y sus leyendas no se referían jamás a la realidad, sino a las dos regiones imaginarias de Mlejnas y de Tlön...
The bibliography listed four volumes that we have not found so far, although the third—Silas Haslam: History of the Land Called Uqbar, 1874— figures in Bernard Quaritch's bookstore catalogs (1).	.i le notci be loi krasi cu se pagbu le vo slecku ku noi mi'a nu'o penmi .i je ku'i le cimoi noi se cmene zoi .glic.Silas Haslam: History of the Land Called Uqbar.glic. gi'e jai se detri li nanca bu 1874 cu cmima le se liste pe la'o gy.Bernard Quaritch.gy. (to pamai toi)	La bibliografía enumeraba cuatro volúmenes que no hemos encontrado hasta ahora, aunque el tercero -Silas Haslam: History of the Land Called Uqbar, 1874-figura en los catálogos de librería de Bernard Quaritch (1).
The first, Lesbare und lesenswerthe Bemerkungen über das Land Ukkbar in Klein-Asien, dates from 1641 and is the work of Johannes Valentinus Andreä.	.i le pamoi noi se cmene zoi .dotc.Lesbare und lesenswerthe Bemerkungen über das Land Ukkbar in Klein-Asien.dotc. cu jai se detri le nanca bu 1641 gi'e cukta fi la'o dotc.Johannes Valentinus Andreä.dotc.	El primero, Lesbare und lesenswerthe Bemerkungen über das Land Ukkbar in Klein-Asien, data de 1641 y es obra de Johannes Valentinus Andreä.
The fact is significant; a couple of years later, I came across that name in the unexpected pages of De Quincey (Writings, thirteenth volume) and learned that it was that of a German theologian who, at the beginning of the seventeenth century, described the imaginary community of the Rosicrucians - that others later founded, in imitation of what he had prefigured.	.i le fatci cu vajni .i ba la'u lo nanca be li so'o mi penmi tcidu le bi'u nai cmene le noi na jai se kanpe vau papri be le cukta be fi la'o .glic.DeQuincey.glic. be me'e "lu lei se finti .i pa ci moi slecku li'u" gi'e cilre le du'u ra cmene le pa dotco ceiskepre noi ca le krasi be le 17 moi sorna'acedra cu skicu le pa xanri cecmu be le rozykrucypre be'o noi lo drata ba ganzu fi ke'a ta'i lo nu jai gau zasti fai lo fukpi be le jai xanri be le ceiskepre	El hecho es significativo; un par de años después, di con ese nombre en las inesperadas páginas de De Quincey (Writings, decimotercero volumen) y supe que era el de un teólogo alemán que a principios del siglo XVII describió la imaginaria comunidad de la Rosa-Cruz -que otros luego fundaron, a imitación de lo prefigurado por él.
That night we visited the National Library.	.i ca le lamji nicte mi'a mo'u klama la natmi ckumuzga	Esa noche visitamos la Biblioteca Nacional.
In vain we exhausted atlases, catalogues, yearbooks of geographical societies,  travelers' and historians' memoirs: no one had ever been to Uqbar.	.i ja'e no da mi'a tadni lo cartu e lo liste e lo nanca cukta be fi lo cecmu be lo tutskepre .i go'i lo cukta be lo se morji be lo litru a lo certu be tu'a lo citri .i no ra pu zvati la ukybar.	En vano fatigamos atlas, catálogos, anuarios de sociedades geográficas, memorias de viajeros e historiadores: nadie había estado nunca en Uqbar.
