valsi	lojban	english	type_discrepancy
bacru	ko na bacru su'o cladu	Don't talk loud.	x2: definition expects Sound or Text; example uses "su'o cladu" (degree/amount of loudness — ni or property), not uttered content.
badna	ma jdima lei badna ku poi ki'ogra	How much is the kilo of bananas?	
badri	mi pu badri le nu mi pu e'ande ra le ka zukte	I was sad that I had allowed her to do it.	
bajra	mi bajra vi'i le mitre be li ci ki'o	I ran three thousands meters.	x2: definition expects Entity (surface); example uses "le mitre be li ci ki'o" (distance/measure), not a surface.
bajra	xu do su'o roi senva le nu do bajra lo jarki grana lei xance be do	Have you ever dreamt of running on your hands on a narrow rod?	
bakfu	ti bakfu le se posydu'a le dasri	This is a gift packed with a ribbon into a bundle.	
bakni	mu bakni cu zvati le purdi	There are five cows in the garden.	
bakri	mi xebni le'e bakri i ki'u bo ri'a tu'a ri le'e purmo cu snipa le xance	I hate chalk. It leaves powder on hands.	
baktu	ko bevri le baktu be lo festi fo le dinju	Take the pail of bucket out of the house.	
balji	ra pu sombo pa balji be pa xrula le purdi	She planted a flower bulb in the garden.	
balni	mi cpana le balni be le zdani be mi	I am on the balcony of my home.	
balni	le jvinu be fi le balni cu melbi	The view from the balcony is beautiful.	
balre	le balre be le dakfu cu kinli	The blade of the knife is sharp.	
balvi	la kevin co'u zvati .i je le nu go'i cu pu balvi le nu ju'a mi mo'u klama le xotli	Kevin left, and that happened after my arrival to the hotel.	
bambu	le bambu cu torni le nu brife	The bamboo bends before the wind.	
bancu	pa le lalxu cu bancu le tcadu	There is a lake beyond the city.	
bancu	le tai fasnu cu bancu le se kakne be mi	Such things are beyond my powers.	
bancu	le zdani cu bancu le vu tricu ti le ka darno ti	The house is beyond those trees from here in how far it is from here.	
bandu	le nu brife e le nu carvi cu bandu le dinju le nu ri jelca	Wind and rain protect the house from burning.	
banfi	lo'e remna cu simsa lo'e banfi le ka se tarmi	Humans look like amphibians.	
bangu	.i xu do se bangu la .lojban.	Do you speak Lojban?	
bangu	ra tavla fo le bangu be fi lo mabla	He used foul language.	
banli	le jvinu be le xamsi bei le kumfa be le xotli cu banli le ka se tarmi	The view of the sea from the hotel room is magnificent i its form.	
banro	le spati ca'o banro le tricu le se katna jimca	The plant is growing into a tree from a cut off branch.	
banxa	ti banxa le gugde le ka canja fo lo kagni i je to'u ti banxa fi tu'a lo kagni	This bank owned by state works with companies, in short, this is a commercial bank.	
banzu			
bapli	le tcima pu bapli le nu ra stali le zdani	The violent weather forced him to stay at home.	
bapli	le snuti pu bapli le nu ra zenba le ka jundi	The accident convinced him to be more careful.	
barda	le tanxe pu barda le ka se canlu xo kau da	The box occupied large space.	
barda	le nu penmi cu pu barda le ka se ditcu	The meeting lasted for a large amount of time.	x1: definition expects Entity; example uses "le nu penmi" (Event) as x1 — either extend definition to allow Event or flag example.
bargu	lei tricu cu bargu le dargu	The trees form an arch over the road.	
barja	ti barja lo'e ckafi lo'e litru	This is a bar serving coffee to tourists.	
barna	le barna be le kamju cu tcita le dargu tu'a lo flalu	The mark on the pillar is a road sign.	
